Entidad federativa,Total
Aguascalientes,"1,425,607"
Baja California,"3,769,020"
Baja California Sur,"798,447"
Campeche,"928,363"
Coahuila de Zaragoza,"3,146,771"
Colima,"731,391"
Chiapas,"5,543,828"
Chihuahua,"3,741,869"
Ciudad de Mexico,"9,209,944"
Durango,"1,832,650"
Guanajuato,"6,166,934"
Guerrero,"3,540,685"
Hidalgo,"3,082,841"
Jalisco,"8,348,151"
Estado de Mexico,"16,992,418"
Michoacan de Ocampo,"4,748,846"
Morelos,"1,971,520"
Nayarit,"1,235,456"
Nuevo Leon,"5,784,442"
Oaxaca,"4,132,148"
Puebla,"6,583,278"
Queretaro,"2,368,467"
Quintana Roo,"1,857,985"
San Luis Potosi,"2,822,255"
Sinaloa,"3,026,943"
Sonora,"2,944,840"
Tabasco,"2,402,598"
Tamaulipas,"3,527,735"
Tlaxcala,"1,342,977"
Veracruz de Ignacio de la Llave,"8,062,579"
Yucatan,"2,320,898"
Zacatecas,"1,622,138"
